"","Date","count"
"0","2015-02-01","296"
"1","2015-02-08","1"
"2","2015-02-15","9"
"3","2015-02-22","0"
"4","2015-03-01","9"
"5","2015-03-08","10"
"6","2015-03-15","0"
"7","2015-03-22","0"
"8","2015-03-29","2"
"9","2015-04-05","0"
"10","2015-04-12","2"
"11","2015-04-19","0"
"12","2015-04-26","0"
"13","2015-05-03","0"
"14","2015-05-10","0"
"15","2015-05-17","0"
"16","2015-05-24","0"
"17","2015-05-31","0"
"18","2015-06-07","1"
"19","2015-06-14","0"
"20","2015-06-21","1"
"21","2015-06-28","0"
"22","2015-07-05","0"
"23","2015-07-12","0"
"24","2015-07-19","0"
"25","2015-07-26","0"
"26","2015-08-02","9"
"27","2015-08-09","0"
"28","2015-08-16","0"
"29","2015-08-23","5"
"30","2015-08-30","2"
"31","2015-09-06","4"
"32","2015-09-13","4"
"33","2015-09-20","14"
"34","2015-09-27","7"
"35","2015-10-04","11"
"36","2015-10-11","2"
"37","2015-10-18","6"
"38","2015-10-25","8"
"39","2015-11-01","10"
"40","2015-11-08","3"
"41","2015-11-15","4"
"42","2015-11-22","9"
"43","2015-11-29","5"
"44","2015-12-06","5"
"45","2015-12-13","7"
"46","2015-12-20","2"
"47","2015-12-27","2"
"48","2016-01-03","2"
"49","2016-01-10","1"
"50","2016-01-17","8"
"51","2016-01-24","9"
"52","2016-01-31","8"
"53","2016-02-07","5"
"54","2016-02-14","4"
"55","2016-02-21","4"
"56","2016-02-28","9"
"57","2016-03-06","6"
"58","2016-03-13","2"
"59","2016-03-20","4"
"60","2016-03-27","3"
"61","2016-04-03","6"
"62","2016-04-10","4"
"63","2016-04-17","10"
"64","2016-04-24","5"
"65","2016-05-01","6"
"66","2016-05-08","7"
"67","2016-05-15","6"
"68","2016-05-22","2"
"69","2016-05-29","1"
"70","2016-06-05","1"
"71","2016-06-12","3"
"72","2016-06-19","0"
"73","2016-06-26","5"
"74","2016-07-03","5"
"75","2016-07-10","3"
"76","2016-07-17","1"
"77","2016-07-24","0"
"78","2016-07-31","3"
"79","2016-08-07","2"
"80","2016-08-14","2"
"81","2016-08-21","3"
"82","2016-08-28","3"
"83","2016-09-04","3"
"84","2016-09-11","3"
"85","2016-09-18","4"
"86","2016-09-25","8"
"87","2016-10-02","4"
"88","2016-10-09","11"
"89","2016-10-16","5"
"90","2016-10-23","4"
"91","2016-10-30","13"
"92","2016-11-06","8"
"93","2016-11-13","7"
"94","2016-11-20","3"
"95","2016-11-27","3"
"96","2016-12-04","3"
"97","2016-12-11","19"
"98","2016-12-18","1"
"99","2016-12-25","2"
"100","2017-01-01","2"
"101","2017-01-08","1"
"102","2017-01-15","9"
"103","2017-01-22","2"
"104","2017-01-29","9"
"105","2017-02-05","8"
"106","2017-02-12","10"
"107","2017-02-19","2"
"108","2017-02-26","3"
"109","2017-03-05","7"
"110","2017-03-12","5"
"111","2017-03-19","6"
"112","2017-03-26","4"
"113","2017-04-02","11"
"114","2017-04-09","5"
"115","2017-04-16","6"
"116","2017-04-23","4"
"117","2017-04-30","0"
"118","2017-05-07","0"
"119","2017-05-14","6"
"120","2017-05-21","5"
"121","2017-05-28","4"
"122","2017-06-04","0"
"123","2017-06-11","7"
"124","2017-06-18","5"
"125","2017-06-25","2"
"126","2017-07-02","9"
"127","2017-07-09","4"
"128","2017-07-16","1"
"129","2017-07-23","1"
"130","2017-07-30","1"
"131","2017-08-06","7"
